2024-12-26 02:08:09,370 = ERROR - Указанный путь не является директорией: C:\программирование\PythonHomework\attectation>
2024-12-26 02:08:09,372 = ERROR - Ошибка при обработке: C:\программирование\PythonHomework\attectation> не является директорией
2024-12-26 02:08:51,408 = ERROR - Указанный путь не является директорией: PythonHomework\attectation>
2024-12-26 02:08:51,408 = ERROR - Ошибка при обработке: PythonHomework\attectation> не является директорией
2024-12-26 02:11:21,203 = INFO - Обработан файл: FileInfo(name='req_file', extension='py', is_directory=False, parent_directory='req')
2024-12-26 02:11:21,203 = INFO - Обработан файл: FileInfo(name='req_install', extension='py', is_directory=False, parent_directory='req')
2024-12-26 02:11:21,203 = INFO - Обработан файл: FileInfo(name='req_set', extension='py', is_directory=False, parent_directory='req')
2024-12-26 02:11:21,203 = INFO - Обработан файл: FileInfo(name='req_uninstall', extension='py', is_directory=False, parent_directory='req')
2024-12-26 02:11:21,204 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='req')
2024-12-26 02:11:21,204 = INFO - Обраюотан каталог: FileInfo(name='legacy', extension=None, is_directory=True, parent_directory='resolution')
2024-12-26 02:11:21,204 = INFO - Обраюотан каталог: FileInfo(name='resolvelib', extension=None, is_directory=True, parent_directory='resolution')
2024-12-26 02:11:21,204 = INFO - Обработан файл: FileInfo(name='base', extension='py', is_directory=False, parent_directory='resolution')
2024-12-26 02:11:21,204 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='resolution')
2024-12-26 02:11:21,205 = INFO - Обработан файл: FileInfo(name='resolver', extension='py', is_directory=False, parent_directory='legacy')
2024-12-26 02:11:21,205 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='legacy')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='base', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='candidates', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='factory', extension='py', is_directory=False, parent_directory='resolvelib')
